ticker,ltp,macd,rsi,mfi,cci,ma20,ma50,ma200,adx,total
NICL,740,-12.5987,44.3896,31.2908,-89.9903,764.255,769.382,634.5096,14.5085,-3
NIMB,175,-0.6706,45.7264,48.9224,-70.0609,176.175,176.926,193.5898,29.3001,0
NLIC,639,-12.2913,36.8075,29.0434,-114.063,662.71,681.344,694.296,19.0255,-3
SBI,308,-6.5141,38.4203,11.1366,-82.939,316.295,326.254,326.3346,15.3336,-4
NLBBL,542,-14.1508,37.2321,26.761,-121.3437,582.275,600.422,649.6139,17.056,-3
NGPL,201.9,-2.7996,45.3421,20.8152,-88.2118,209.605,206.818,246.404,19.0008,-2
NICA,536.2,-19.6508,34.7743,12.5563,-59.2544,560.0105,590.561,586.9663,31.7005,-2
NUBL,635.9,2.4205,58.5916,53.3398,89.158,617.08,613.72,670.2105,17.9568,6
NLG,725,-16.4416,41.8544,22.5748,-86.1555,746.9,767.61,686.5759,14.5904,-4
NMB,207,-3.364,36.0994,24.289,-118.4518,212.595,218.838,228.5152,19.7741,-2
NMBMF,499,-7.9185,45.0272,28.3316,-90.4376,506.06,520.482,565.8972,15.8902,-3
OHL,666.9,-21.296,34.5927,44.5351,-107.2,700.1539,740.9681,639.2622,22.9353,-2
PFL,344.8,-4.0842,47,36.1412,-52.5277,348.455,352.456,371.0553,13.3569,-1
PRVU,156.9,-1.3784,39.8843,27.1731,-102.9711,159.395,161.334,173.623,18.5894,-2
PRIN,661,-6.3313,47.5021,23.7472,-50.8325,669.955,673.566,576.1928,13.7582,-3
SPIL,708.9,-8.4346,46.5824,24.4806,-52.589,716.28,734.474,659.7814,16.5787,-2
PCBL,181,-0.6896,46.1712,27.6252,-20.4411,182.07,182.71,197.8274,10.9133,-2
PROFL,292.5,-6.2523,44.2577,37.7206,-110.2245,305.8,305.84,331.3145,12.752,-3
RBCL,13000,-412.8221,30.8765,36.4452,-113.2734,13668.745,14416.798,13998.2565,30.0448,-1
GILB,844.5,-8.558,40.0977,45.7996,-164.6522,887.67,879.844,895.6588,30.9777,-1
